submission_id,source_file,day,timestamp,symbol,price,quantity,side
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,400,HYDROGEL_PACK,10011.0,8,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,900,HYDROGEL_PACK,10009.0,12,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1000,HYDROGEL_PACK,10012.0,14,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1100,HYDROGEL_PACK,10011.0,13,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1200,HYDROGEL_PACK,10013.0,12,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1300,HYDROGEL_PACK,10013.0,13,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1300,VEV_5000,265.0,3,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1300,VEV_5100,176.0,3,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1300,VEV_5200,101.0,3,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,1400,HYDROGEL_PACK,10015.0,8,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,9000,VEV_5000,272.0,1,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,9000,VEV_5200,105.0,1,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,9900,VELVETFRUIT_EXTRACT,5262.0,8,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,10700,VELVETFRUIT_EXTRACT,5264.0,4,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,12600,VELVETFRUIT_EXTRACT,5265.0,3,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,13900,VELVETFRUIT_EXTRACT,5268.0,4,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,16300,VELVETFRUIT_EXTRACT,5273.0,5,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,23100,VELVETFRUIT_EXTRACT,5267.0,4,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,26500,VELVETFRUIT_EXTRACT,5268.0,6,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,26800,HYDROGEL_PACK,9987.0,8,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,29200,HYDROGEL_PACK,9994.0,4,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,32700,HYDROGEL_PACK,10003.0,11,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,33300,VELVETFRUIT_EXTRACT,5269.0,7,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,34100,VEV_5000,277.0,1,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,34100,VEV_5300,54.0,1,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,35800,VELVETFRUIT_EXTRACT,5266.0,7,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,36100,VELVETFRUIT_EXTRACT,5270.0,4,SELL
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,39500,VEV_5000,265.0,2,BUY
00654ddb-930b-48b9-bc7f-97f36847627e,ROUND 3\live_logs\398823\398823.log,2,41100,HYDROGEL_PACK,9992.0,1,SELL
